id,category,genre
440,"1,27,22,29,13,30,35,18,8,15,17,14,41,42","1,37"
730,"1,22,28,29,30,35,8,15,41,42,43","1,37"
578080,"1,49,36,15,41,42","1,25,29"
304930,"2,1,49,36,47,9,38,48,22,29,30,35,23,8,15,17,42","1,25,4,37,23"
550,"2,1,49,36,9,38,22,28,29,13,30,23,8,15,16,14,41,42,43,44",1
218620,"2,1,9,38,22,28,29,35,23,41,42,43","1,3"
4000,"2,1,9,27,22,29,13,30,23,8,17,42","23,28"
230410,"2,1,9,29,35,18,41,42","1,37"
444090,"1,49,36,22,29,35,18,41,42","1,37"
72850,"2,22,29,30,18,23",3
105600,"2,1,49,36,9,38,22,28,29,23,41,42,43","1,25,23,3"
620,"2,1,9,38,39,24,22,28,29,13,30,23,15,17,14,41,42,43,44","1,25"
8930,"2,1,22,29,23,42",2
49520,"2,1,9,22,28,29,23,41,42,43","1,3"
301520,"1,20,49,36,9,38,22,29,35","1,37,23,29,3,28"
252950,"2,1,49,36,37,9,38,39,24,27,22,28,29,30,23,15,41,42,43,44","1,23,9,18"
236390,"2,1,20,9,27,22,35,18,41,42","1,37,29,28"
252490,"1,20,49,36,9,38,27,22,29,30,35,8,15,42","1,25,23,29,3"
346110,"2,1,20,9,22,28,30,23,8,17,42","1,25,23,29,3"
220,"2,22,29,13,18,23,16,41,42,44",1
291550,"2,1,49,36,37,9,38,39,24,27,22,28,29,41,42,43,44","1,37,23"
219640,"1,22,28,29,30,8,17,43","1,23"
304050,"1,20,49,36,9,22,29,30,35","1,25,4,37,29,3"
238960,"2,1,20,49,36,9,22,29,35,42","1,25,37,23,29,3"
1250,"2,1,9,27,22,29,30,8,15,17",1
113200,"2,22,29","1,25,23,3"
224260,"1,9,27,22,13,31,30,18,23,8,17,16","1,37,23"
291480,"1,20,49,36,9,38,22,29,35","1,37,29"
377160,"2,22,28,23,41,42,43",3
107410,"2,1,49,36,47,9,38,48,22,29,13,30,18,25,17","1,28,2"
255710,"2,22,29,30,18,23,17,42","28,2"
222880,"1,9,27,22,28,29,30,8,17","1,23,2"
227300,"2,22,29,30,18,23,17,41,42,44","23,28"
221380,"2,1,22,29,13,30,23,15,25,17",2
333930,"1,49,36,22,29,35","1,37"
381210,"1,49,36,9,38,22,28,29,23,41,42,43",1
386360,"1,22,29","1,37"
204360,"2,1,49,36,37,9,38,39,24,27,22,28,29,23,25,41,42,43,44","1,25,4,23,3"
242760,"2,1,9,38,48,18,23","1,25,23,28"
203160,"2,1,22,28,29,23,41,42,43","1,25"
292030,"2,22,28,29,23,42,43",3
431960,"22,29,30,17","4,23,51,53,55,57"
206420,"2,9,22,28,29,30,23,43","1,25"
99900,"2,1,20,9,22,29,35,18","1,25,4,37,23,29,3"
208090,"1,9,22,29,18,23,8","1,37,23"
550650,"1,22,29,35","1,37"
273110,"2,1,20,9,22,29,13,35","1,4,37,29"
55230,"2,1,9,22,29,18,23,41,42",1
42910,"2,1,9,24,22,28,29,25,41,42,43,44","1,3"
200710,"2,1,9,27,22,29,30,23","1,25,23,3"
24240,"2,1,9,22,29,23,15",1
413150,"2,1,9,38,48,22,28,29,23,41,42","23,3,28"
273350,"2,1,9,28,29,8","1,37"
231430,"2,1,9,22,29,30,23,15",2
500,"2,1,9,22,28,13,23,8,15,25,16,14,43,44",1
20920,"2,22,29,18,23,25",3
8870,"2,22,28,29,23,43",1
241930,"2,22,28,29,23","1,25"
104900,"2,1,49,36,9,38,22,28,29,30,8,15,25,17","1,25,23,3"
300,"1,27,22,29,8,15,16",1
363970,"2,22,29,35,23,15","25,4,37,23,3,28,2"
211820,"2,1,49,36,9,38,27,22,29,30","1,25,4,23,3"
209870,"1,22,29,17","1,37"
48700,"2,1,22,29,30","1,3"
244850,"2,1,49,36,9,22,30,18,23,17","1,23,28,2"
251570,"2,1,9,27,22,28,29,17,42,43","1,25,23,3,28,2,70"
316010,"2,1,9,24,22,28,35,23,44","37,2"
265930,"2,1,24,22,28,29,30,23,25,17,43,44","4,23,28"
319630,"2,22,28,29,23,41,42,43","1,25"
232090,"2,1,49,36,9,38,22,28,29,30,35,8,17,43",1
555570,"1,20,49,36,9,38,22,29,35","1,37,23,29,3"
346900,"2,22,29,23","4,37,23"
200210,"1,20,49,36,9,38,27,22,15","1,37,23,29,3"
289070,"2,1,49,36,47,37,24,27,22,29,30,32,42,44",2
238460,"2,1,49,36,37,9,38,39,24,22,28,29,30,23,15,25,17,41,42,43,44","1,25,4,23"
391540,"2,29,41,42","23,3"
35450,"1,49,36,22,29,30,8,15,17","1,29,28"
295110,"1,20,29","1,25,29"
10500,"2,1,49,36,47,9,38,48,22,29,15",2
239140,"2,1,49,36,9,38,22,28,29,30,23,8,17,42,43","1,3"
214950,"2,1,49,36,47,9,38,48,29,23",2
374320,"2,1,9,22,28,29,41,42,43",1
379720,"2,1,9,22,29,18,23,41,42",1
203770,"2,1,29","37,3,28,2"
477160,"2,1,49,36,9,39,24,22,28,29,30,23,15,43,44","25,23"
